name,points,canada,international,wText,wPhoto,wVideo,all_fol_fav,all_fol_rt,video_fol_fav,video_fol_rt,photo_fol_fav,photo_fol_rt,text_fol_fav,text_fol_rt,engage_fol_all
Atlanta Hawks,134.049480489208,FALSE,FALSE,3.5,2.5454545454545454,3.111111111111111,28.92410783880559,5.553971501567406,20.538314496553088,4.035792619780284,38.76677395073108,8.281758974995746,24.824459444942097,3.511214967613949,34.47807934037299
Boston Celtics,97.3560415252193,FALSE,FALSE,9,1.6363636363636365,3.6,16.22598388236169,3.287256934116597,15.658229848304583,2.804552721594289,17.24920653966795,3.9118481626196537,12.017644352320048,1.0587657086555622,19.513240816478287
Brooklyn Nets,28.4352054099332,FALSE,FALSE,13,1.7333333333333334,2.888888888888889,10.684075377634576,1.8755241098023188,6.08677037486771,0.8422492530130781,14.448482031069712,2.6899878204479553,3.138897989321936,0.4167831355116264,12.559599487436895
Charlotte Hornets,69.5476059430126,FALSE,FALSE,8.333333333333334,1.9230769230769231,2.7777777777777777,13.508851508046536,2.569311790724071,6.580925927109013,0.9730897213567934,17.08151276596337,3.689868856900743,18.811096133219475,2.502230712060326,16.07816329877061
Chicago Bulls,71.5795848980209,FALSE,FALSE,6.6,1.5,5.5,11.399356080715762,2.5960623739366193,20.72450207714321,4.556002694566577,10.78437698902717,2.5239563198634336,2.9150888884326247,0.5614006271026859,13.99541845465238
Cleveland Cavaliers,109.819167861292,FALSE,FALSE,8.5,1.4166666666666667,5.666666666666667,6.44200045181103,1.2193973431787921,5.272257181835884,0.7743573234320649,7.335902008302079,1.5007533261560626,2.833206017827454,0.19882147493525992,7.6613977949898215
Dallas Mavericks,12.4467627352826,FALSE,FALSE,Inf,1.5,3,4.243791641811375,0.7592162164548134,2.852736015981375,0.5221187933759015,4.939319454726373,0.8777649279942693,NaN,NaN,5.003007858266188
Denver Nuggets,12.96363841988,FALSE,FALSE,3.2857142857142856,1.7692307692307692,7.666666666666667,16.416336757258005,2.256981596404879,24.575278788311103,3.1359969802886556,15.838395145050397,2.4767211531602715,13.992967452335096,1.4721729693375316,18.673318353662886
Detroit Pistons,61.673554223637304,FALSE,TRUE,4.4,1.8333333333333333,4.4,14.458818384620068,3.10764955632684,14.988901251584549,4.0041848647391936,15.685493022457667,3.4788994617614444,10.984716386845355,1.3201144748714373,17.566467940946907
Golden State Warriors,53.6852208707894,FALSE,FALSE,Inf,1.6,2.6666666666666665,5.754353623859563,0.8641524797370316,4.164903661283783,0.6080836102171265,6.708023601405031,1.0177938014489747,NaN,NaN,6.618506103596594
Indiana Pacers,33.5214495683882,FALSE,TRUE,4.6,1.6428571428571428,5.75,6.548930600884677,0.9873925216613375,10.90252812246318,1.4146137406603603,5.067841818392671,0.798824690493152,7.213101174599492,1.1736054737330393,7.536323122546014
LA Clippers,35.1581288310189,TRUE,FALSE,Inf,1.625,2.6,6.379470068316561,1.168663305211082,6.418838467055121,1.2436835056044908,6.35486481910496,1.1217756799652017,NaN,NaN,7.548133373527643
Los Angeles Lakers,11.9412478807508,FALSE,FALSE,4,2,4,1.830287180101235,0.42423194361184036,0.8114624336318546,0.15777008684292548,2.583420933418197,0.6642274828810463,1.3428444199366916,0.2107027218423435,2.2545191237130755
Memphis Grizzlies,114.033598779483,TRUE,FALSE,11.5,2.5555555555555554,1.9166666666666667,19.909152411326954,4.633168448767173,20.802887285925852,3.994798017219976,22.5704528723117,6.488974015793383,2.570891089302223,0.11226598643241148,24.542320860094126
Miami HEAT,61.2942390139909,FALSE,FALSE,17,2.4285714285714284,1.8888888888888888,5.136851454752716,1.2303140076349182,5.253829544204306,1.5293695810969907,5.01851065303897,0.921767262803076,4.9124342616846475,0.6986410602991568,6.367165462387635
New Orleans Pelicans,205.235932213814,TRUE,FALSE,6.222222222222222,2.074074074074074,2.8,74.80651679928896,17.653507852525134,143.6056212844098,37.262390890567744,34.812535344980986,6.730336544777141,41.9015623063887,6.847726135674417,92.4600246518141
NEW YORK KNICKS,86.1785225213021,TRUE,FALSE,17,1.8888888888888888,2.4285714285714284,21.1075089315994,6.063999383736082,18.61333102860648,4.035911330465756,24.778736306159583,8.192740298305557,5.5257078815082314,1.1019475255030864,27.171508315335483
OKC THUNDER,27.8836330336296,FALSE,FALSE,5,1.6666666666666667,5,1.606226498360584,0.18418355623798705,1.298402891499473,0.18965435493812524,2.0880215038860905,0.2261263462723801,0.4686650886451749,0.05288438743466954,1.790410054598571
Orlando Magic,36.230459388485,FALSE,FALSE,6,2.25,2.5714285714285716,3.3712557506685257,0.6843548137221224,2.2793865055469116,0.46419117286213696,5.0179845211873815,1.0942267666255785,1.5276739345686745,0.10507810131953847,4.055610564390648
Philadelphia 76ers,39.3515246372799,FALSE,FALSE,3.5714285714285716,2.5,3.125,9.817769939925732,1.3723887765782041,15.88240354423846,1.9749953403013751,10.13520294779704,1.5914662996257904,2.4332843808950306,0.37072767082659985,11.190158716503936
Phoenix Suns,71.7531706276347,FALSE,FALSE,2.8,4.666666666666667,2.3333333333333335,3.3825909320032896,0.36573672261996354,2.069349746637307,0.23434943711918219,5.292759928899265,0.42890368680303154,3.8123789563048844,0.4855012867110604,3.748327654623253
Portland Trail Blazers,25.9658560280314,FALSE,FALSE,2.6,2.1666666666666665,6.5,18.121795665231296,2.667700305531488,34.80184426363003,7.1615049868732195,15.3657420376149,1.6355543539865671,14.757040579011486,2.1087535748487,20.789495970762786
Sacramento Kings,28.8171843639243,FALSE,FALSE,5.25,2.1,3,17.64592538327114,2.5220729073662844,26.90815228589089,4.590096380577368,7.195348091847714,0.9474943339209267,27.56347153224514,2.8394782628602826,20.167998290637424
San Antonio Spurs,65.3182325329386,FALSE,TRUE,Inf,2.6666666666666665,1.6,10.503103565668559,2.0536616328351354,9.093692652529217,1.7478761754644319,12.85212175423413,2.563304061786308,NaN,NaN,12.556765198503694
Timberwolves,72.2819295468028,FALSE,FALSE,2.5,2.5,5,6.544255019777296,0.5515538089094538,9.74518001483563,1.333718747940972,5.122330171374889,0.36398300491616165,6.365717370650535,0.34804214338698675,7.095808828686749
Toronto Raptors,6.21663879016845,FALSE,FALSE,Inf,1.5,3,15.335570681762858,2.425548724521899,25.380801917893812,4.702415976747384,10.312955063697377,1.2871150984091568,NaN,NaN,17.761119406284756
Utah Jazz,25.3165676208862,FALSE,FALSE,4,1.6,8,3.5850312843189034,0.43562486353109986,3.467789037096953,0.3441974230369184,4.627734352731368,0.5816936449323922,1.0368947368987167,0.11616663027495996,4.020656147850003
Washington Wizards,63.4974335007495,FALSE,TRUE,8,3.076923076923077,1.8181818181818181,138.3871372814858,34.1506442487236,149.47687825944672,37.582683713975484,168.7620433670767,40.98111863909766,10.617521155921361,1.29043718664275,172.5377815302094
Houston Rockets,0,FALSE,FALSE,Inf,1.1666666666666667,7,7.590041954443668,1.9194455106088602,9.61645346873971,3.2984680091249694,7.252306702060995,1.6896084275228422,NaN,NaN,9.509487465052528
Milwaukee Bucks,0,FALSE,FALSE,4.4,2.75,2.4444444444444446,6.590043129618968,0.7069671847088081,6.810912616083551,0.8448694256766991,9.34721514998332,0.8361157651833909,1.7810028213997582,0.2521054222072717,7.297010314327776
